"title","description"
"Pan de Molde Integral","Pan de Molde Horneado. Nuestro pan de molde, elaborado con harina integral y semillas ofrece una miga densa y nutritiva con una corteza dorada. Perfecto para sandwiches o tostadas, cada rebanada combina el sabor auténtico de la harina integral con una textura esponjosa y saludable."
"Pan de Almendras","Pan casero horneado, hecho con harina de almendras, perfecto para quienes siguen una dieta Keto. Ligero, nutritivo y sin gluten, con una textura suave que te sorprenderá. Ideal para tus comidas o para acompañar una picada saludable. ¡Una Alternativa deliciosa! (700g aprox.)"
"Focaccia Integral","Focaccia integral con tomates cherry, aceitunas y especias, perfecta para acompañar o disfrutar sola. ¡Un sabor rústico y delicioso en cada bocado! !También se puede pedir en tamaño grande!"
"Carrot Cake Integral","Ideamos esta versión saludable del carrot cake para que puedas disfrutar de algo distinto y riquísimo en tus desayunos y meriendas. Hecho con harina integral y endulzado con stevia, es el toque perfecto para endulzar tus momentos sin culpa. ¡No te quedes sin probarlo!"
"Pizzetas Integrales (12)","Nuestras pre pizzetas de harina integral vienen listas para que las completes a tu gusto. Con una base crujiente y una capa de salsa casera, son la opción perfecta para una comida rápida, saludable y deliciosa. ¡Solo agregá tus ingredientes favoritos y disfrutá!"
"Pepas (12)","Disfrutá nuestras deliciosas pepas caseras, hechas con harina integral para un toque más saludable. Vienen en una bandeja de 12 unidades, perfectas para compartir o disfrutar en cualquier momento. Rellenas de membrillo y batata, combinan la dulzura con la textura rústica de la harina integral. Ideales para acompañar un buen mate o café."
"Tartas Individuales Integral","Tartas Individuales de harina Integral. Elige entre Calabaza con Choclo y Queso / Jamón y Queso / Cebolla y Queso / Verdura / Caprese / Cebolla Caramelizada / Roquefort. ¡Sabores variados para cada gusto!"
"Hamburguesas Legumbres (x6)","Elaboradas con ingredientes naturales, nuestras hamburguesas de legumbres vienen en bandejas de 6 unidades y podés elegir entre varios sabores: Lenteja, Garbanzo, Arroz yamaní, Arvejas, Verduras con Arroz yamaní, Soja con Cebolla caramelizada o Calabaza con avena. ¡Una opción nutritiva y deliciosa para cada gusto!"
"Panes Saborizados Chicos (12)","Disfrutá estos panes chicos, surtidos con sabores de aceitunas, cebolla, remolacha y queso. Perfectos para picadas o acompañar tus comidas, hechos con ingredientes frescos y un toque casero. ¡Sabores irresistibles en cada bocado!"
"Pastafrola Individual","Pastafrola Individual (Por Unidad) MEMBRILLO - BATATA - RICOTA"
"Muffins de Queso","Muffins de queso keto en bandeja de 6, con textura esponjosa y sabor a queso delicioso."
"Alfajor Relleno de Dulce de Leche o Ganache","Alfajor artesanal hecho con harina de almendras, relleno de dulce de leche o ganache. Sabor clásico, sin azúcar. ¡Irresistible y saludable!"
"Alfajor bañado en Chocolate","Este alfajor está bañado en chocolate, con un relleno de Dulce de Leche o Ganache de chocolate que se desarma en la boca. Y lo mejor: es sin azúcar y hecho con harina de almendras, así que podés darte el gusto tranqui. Es perfecto para esos momentos donde el antojo te ataca. (Precio por Unidad)"
"Bon o Bon saludable (4 unidades)","Bon o Bon saludable sin azúcar, con relleno cremoso y deliciosa cobertura de chocolate. Pack de 4 unidades, ideales para disfrutar sin culpas."
"Base para Tartas Individuales(6)","Base para tartas individuales, 100% harina integral: perfecta para tus recetas más saludables. Con una textura crujiente y un sabor suave, es ideal para rellenar con tus ingredientes preferidos. Sin aditivos ni harinas refinadas, esta base es la opción natural para disfrutar de una comida rica y nutritiva. (PRECIO POR 6 UNIDADES)"
"Chips rellenos de Jamón y Queso Keto (12)","Disfrutá de estos deliciosos chips Keto rellenos de jamón y queso, hechos con harina de almendras para un toque más saludable. Son perfectos para todo momento. El sabor intenso del jamón y queso se combina con la textura rústica de la harina, creando una explosión de sabor en tu boca. Vienen en bandeja de 12 y también 6 Unidades mas económico."
"Chips Rellenos con Caprese(12)","Estos exquisitos chips de harina integral rellenos de caprese te traen todo el sabor mediterráneo en un solo bocado. Con tomate jugoso, albahaca fresca y queso derretido, cada chip es una combinación perfecta de sabores naturales. Vienen en bandeja de 12 Unidades."
"Crackers con semillas (bolsa 250g)","Nuestras crackers de harina integral con semillas son el snack perfecto para cualquier momento del día. Hechas con una mezcla de semillas de girasol, sésamo y chía, estos crackers son tan crujientes como nutritivos. Vienen en una bolsa de aproximadamente 250g. Sin conservantes ni harinas refinadas, estas crackers son una opción saludable para acompañar cualquier cosa."
"Crutones (bolsa 250g)","Nuestros crutones de harina integral son perfectos para darle ese toque final a tus platos favoritos. Hechos con pan de harina integral, son crujientes y llenos de sabor, ideales para agregar textura a ensaladas, sopas o acompañar tus comidas."
"Tapas para Tacos/Fajitas (6 unidades)","Nuestras tapas para tacos y fajitas están elaboradas con harina integral, brindando una opción más saludable sin sacrificar el sabor ni la textura. Con 6 unidades por paquete, son suaves, flexibles y perfectas para envolver tus ingredientes favoritos, desde carnes y vegetales hasta combinaciones más creativas."
"Brownie Saludable (por porción)","Disfrutá de este brownie saludable, una porción que combina todo el placer del clásico postre con ingredientes más nutritivos. Hecho con harina integral, cacao puro y endulzantes naturales, es perfecto para quienes buscan un capricho dulce sin perder de vista una alimentación equilibrada. Su textura esponjosa y su intenso sabor a chocolate lo convierten en una opción irresistible, ideal para meriendas o postres."
"Budín de Limón y Coco","Budín de limón y coco, súper esponjoso, con ese gustito cítrico que te alegra el día. Viene con una ganache de chocolate blanco, es Keto. Perfecto para cuando querés algo rico, pero sin sentirte pesado. Ideal para la merienda!"
"Rogel Keto","Nuestro Rogel Keto es una versión saludable, sin azúcar y apto para quienes siguen una dieta cetogénica. Capas finas y crocantes, intercaladas con un suave dulce de leche sin azúcar y cubierto con un chocolate ligero. Todo el sabor tradicional, sin culpas. (1200g/1300g aprox.)"
"Bombón Keto (4)","Bombones Keto de chocolate, con un relleno cremoso de Dulce de Leche O Dulce de Leche de Arándanos. Sin azúcar, delicioso, este bombón es perfecto para darte un gusto sin salirte de lo saludable. (Bolsa de 6 Unidades)"
"Pan Tortuga Keto (6)","Nuestro Pan Tortuga Keto es ideal para los que quieren un pancito rico y liviano. Esponjoso, sin gluten, pero con todo el sabor para disfrutar en cualquier momento. Perfecto para hacerte un buen sándwich o acompañar tus comidas. (Bandeja de 6 Unidades)"
"Base para Tarta Keto (3 o 6)","Conocé nuestra Base para Tarta Keto: la solución ideal. Esta base es crujiente y versátil, perfecta para rellenar con tus sabores favoritos, ya sean dulces o salados. Disfrutá de una opción deliciosa y saludable. Vienen de a 3 o 6 Unidades. (El precio publicado equivale a 6 unidades)"
"Pan de Nuez","Nuestro pan de nuez grande es una verdadera delicia casera, hecha con harina integral para ofrecerte un pan nutritivo y lleno de sabor. Con un peso aproximado de 900g , este pan es perfecto para compartir. Su textura rústica y su carga de nueces lo convierten en un pan ideal para acompañar tus comidas, ensaladas, o incluso como snack entre horas."
"Budín de Manzana","Budín de Manzana Integral - 450g aprox. Suave, esponjoso y con el dulzor natural de las manzanas. Hecho con harina integral para una opción más sana, perfecto para disfrutar en cualquier momento del día. ¡Una tentación casera y deliciosa!"
"Pan Árabe (6)","Pan Árabe Integral (precio x 6 unidades). Livianos, versátiles y preparados con harina integral. Perfectos para acompañar picadas, rellenar o simplemente disfrutar solos. Saludables y caseros, para cualquier ocasión."
"Muffins de Chocolate","Muffins de Chocolate Keto (bandeja de 6). Deliciosos y esponjosos, hechos sin harinas tradicionales. Ideales para quienes buscan un dulce bajo en carbohidratos, sin perder ese sabor intenso a chocolate que tanto te gusta."
"Muffins de Arándanos","Muffins de Arándanos Keto (bandeja de 6). Suaves, frescos y cargados de arándanos. Perfectos para disfrutar en cualquier momento del día, con el equilibrio justo entre lo dulce y lo saludable"
"Muffins con Nueces","Muffins de Nueces Keto (bandeja de 6). Elaborados con Harina de Almendras. Cada muffin está lleno de trocitos de nueces que aportan textura y sabor. Perfectos para un snack nutritivo o acompañar un café. ¡Deliciosos!"
"Pizzetas Keto (6)","Pre Pizzetas Keto (bandeja de 6). Con una salsa deliciosa. Ideales para armar tus pizzas sin culpas. Hechas sin harinas tradicionales, son bajas en carbohidratos y perfectas para una comida rápida y saludable. ¡Solo agregá tus toppings favoritos y al horno!"
"Scones de Queso (8)","Scones de Queso Integrales (bolsa de 6 unidades). Con todo el sabor del queso y hechos con harina integral para que disfrutes sin culpa. ¡Perfectos para acompañar con mate!"
"Figacitas (8)","Figacitas de Harina de Almendra (bandeja de 8 unidades). Suaves, con ese toque único de la almendra. Perfectas para armar picadas o acompañar tus comidas. Una vuelta de tuerca saludable y sabrosa a las clásicas figacitas."
"Pancakes (4)","Disfrutá de estos esponjosos pancakes caseros, elaborados con harina integral para una opción más nutritiva. Perfectos para un desayuno energético o una merienda saludable, podés combinarlos con frutas frescas, miel o el topping que más te guste. Vienen en bolsa de 4 Unidades."
"Pan Tortuga Mediano (6)","Una explosión de sabores y colores. Estos panes tortuga vienen en tres variedades: Remolacha, Zapallo y Espinaca. Su miga suave y esponjosa los hace perfectos para acompañar tus picadas o sándwiches. Vienen en bandeja de 6 Unidades."
"Muffins Rellenos con Ganache (6)","Para los amantes del dulce que buscan opciones sin culpa, estos muffins Keto son el placer perfecto. Rellenos con un irresistible ganache cremoso, te ofrecen una delicia baja en carbohidratos pero llena de sabor. Ideales para acompañar el café de la tarde o como postre. Vienen en bandeja de 6 Unidades."
"Chips rellenos de JyQ Integrales (12)","Estos chips integrales son el snack perfecto para cualquier momento del día. Hechos con harina integral, combinan lo mejor del sabor clásico con un toque nutritivo."
"Chips Integrales (12)","Nuestros chips integrales son perfectos para armar tus sandwiches o disfrutar como quieras. Hechos con harina integral de calidad, vienen en bandejas de 12 unidades listas para acompañar tus comidas o picadas."
"Trufas de Chocolate s/azúcar (4)","TRUFAS DE CHOCOLATE. Otra opción bomba para tus postres y antojos de dulce son estas trufas de chocolate y avena. Como tratamos de buscar la versión saludable de todo lo que hacemos, esta no es la excepción. Las trufas son de chocolate sin azúcar y endulzadas con stevia! Rebozadas en coco rallado para que explote de sabor. Vienen en cajita de a 4 Unidades."
"Muffins de Mandarina (6)","MUFFINS DE MANDARINA. Ideales para una rica merienda saludable! Están hechos con harina integral y nueces, endulzados con stevia. No te los podes perder, son una bomba . Vienen en bandeja de 6 Unidades."
"Tapa/Fajitas Keto (3 o 6)","Fajitas Keto Ideales para tus tacos, wraps o como acompañamiento. Hechas sin harinas tradicionales, pero cargadas de sabor. Ligeras y flexibles, perfectas para rellenar con tus ingredientes favoritos: carne, pollo, vegetales, ¡Lo que más te guste! Vienen en packs de 3 o 6. El precio publicado corresponde a 6 unidades."
"Budin con Nuez Keto","Una opción deliciosa y saludable para tus meriendas o desayunos. Este budín esponjoso está hecho sin harinas tradicionales, con ingredientes Keto, y viene cargado de nueces crocantes que le dan un toque especial. Ideal para darte un gusto sin salirte de la dieta. Sin gluten, sin azúcar y lleno de sabor. ¡Probalo y sorprendete!"""
"Tartas Individuales Keto","Tartas individuales Keto. Hechas sin harinas tradicionales, estas tartas son ideales para quienes buscan opciones ricas y saludables. Elegí entre nuestras variedades: Calabaza con Choclo y Queso / Jamón y Queso /Cebolla y Queso / Verdura / Caprese / Cebolla Caramelizada / Roquefort. ¡Una opción para cada gusto, perfectas para cualquier ocasión!"
"Pan Dulce Keto","Disfrutá del clásico pan dulce, pero sin culpa, Keto. Hecho con harinas de almendras, endulzantes naturales y una mezcla irresistible de frutos secos. Ideal para quienes buscan una opción baja en carbohidratos, pero llena de sabor."
"Tarta de Coco individual Keto","Una delicia que combina lo mejor del coco y el dulce de leche, pero en su versión Keto. Hecha con harina almendras, endulzada con alternativas naturales bajas en carbohidratos, y rellena con dulce de leche sin azúcar. Esta tarta es perfecta para quienes buscan disfrutar de algo dulce sin salir de su estilo de vida keto. Ideal para acompañar un té o sorprender en la sobremesa."
"Chips de Caprese (6 o 12) Keto","Chips de Caprese Keto. Estos chips de harina de almendras están elaborados con ingredientes frescos: tomate, albahaca y queso, recreando el clásico sabor caprese en una versión baja en carbohidratos. Perfectos para una dieta Keto o simplemente para quienes desean un snack liviano y lleno de sabor. Elige entre bandeja de 6 o 12 unidades, ideales para picadas y acompañamientos. (Precio publicado por 12 unidades)"
"Pepas Dulce de Leche (12) Keto","Nuestras Pepas de Dulce de Leche sin Azúcar, irresistibles, están hechas especialmente para quienes siguen un estilo de vida Keto o buscan opciones bajas en carbohidratos. Disfrutá de la suavidad del clásico dulce de leche sin azúcar, acompañado de una masa crocante, libre de harinas refinadas. Vienen en bandeja de 12 unidades."
"Nueces con Dulce de Leche (6)","Nuestras nueces rellenas con dulce de leche y bañadas en chocolate, todo sin azúcar, son la versión saludable del clásico tentador. Crocantes, bien nueceras y con ese toque de dulce de leche que te hace decir ""¡qué rico esto!"". Un snack ideal para el mate, o cuando pinta el antojo dulce sin salirte de la línea. Vienen de a 6 unidades."
"Scons de Queso Keto (8)","Nuestros scones de queso keto son la opción perfecta para quienes buscan un snack delicioso y bajo en carbohidratos. Hechos con harina de almendras y queso de calidad, tienen una textura suave y esponjosa, con el sabor irresistible del queso derretido. Ideales para acompañar el mate, el café o como parte de una picada saludable. ¡Disfrutá sin culpa! (Vienen de a 8 unidades)."
"Crackers Keto","Crackers Keto (250g) livianas, crocantes y bajas en carbohidratos. Ideales para picadas saludables y acompañar tus dips favoritos. Una delicia!"
"Mantecol Saludable","¡Mantecol Saludable que no tiene nada que envidiarle al original! 🎉 Reinventamos el clásico mantecol con una versión saludable y deliciosa de aproximadamente 170 gramos de puro sabor 💣. Elaborado con ingredientes naturales como pasta de maní, frutos secos y chocolate sin azúcar, es la opción perfecta para quienes buscan darse un gusto dulce sin culpas. Aunque igualar el sabor del mantecol tradicional es un desafío, esta versión es igual de irresistible (¡o incluso más!). Probaló y después contanos qué te parece ❤️‍🔥."
"Mini Rogel bañado","El clásico que amás, en versión mini. Nuestro Mini Rogel keto está hecho con capas crocantes, relleno con dulce de leche sin azúcar y cubierto con un baño de chocolate intenso que se derrite en la boca."
"Mini rogel (sin baño)","Mini Rogel Keto Clásico (sin baño) Una delicia en versión saludable. Nuestro Mini Rogel keto mantiene la esencia del postre tradicional, con capas crocantes y ese relleno de dulce de leche sin azúcar que lo hace irresistible… pero sin el baño de chocolate. Ideal para los que prefieren un sabor más suave."
"Budín Marmolado","Budín marmolado de vainilla y chocolate hecho con harina de almendras. Suave, húmedo y sin harinas refinadas."
"Trio Panes Saborizados. Aceituna/Jamón/Queso","Trío de panes Keto artesanales de 320 g c/u, elaborados con harina de almendras. Incluye tres sabores: Jamón, Aceitunas verdes y Queso. De miga suave y textura esponjosa, son ideales para acompañar tus comidas o disfrutar solos, con sabor auténtico en cada rebanada."
"Ñoquis Keto (500g)","Ñoquis Keto caseros, bandeja de 500g, disponibles en espinaca o calabaza. Hechos con harina de almendra, sin harinas refinadas. Se cocinan en pocos minutos y podés acompañarlos con la salsa que más te guste."
"Ñoquis Keto (1Kg)","Ñoquis keto caseros de 1kg, disponibles en espinaca o calabaza. Hechos con harina de almendra, sin harinas refinadas. Aptos para dieta cetogénica y low carb. Se cocinan en pocos minutos y podés acompañarlos con la salsa que más te guste."
"Pan de Harina de Garbanzo (x6)","Panes artesanales elaborados con harina de garbanzo, de miga suave y sabor ligeramente tostado que combina perfecto con fiambres, quesos y todo tipo de preparaciones saladas. Son una alternativa distinta al pan tradicional, ideales para picadas, sándwiches o acompañar tus comidas diarias. Presentación en pack de 6 unidades, listos para disfrutar y compartir."
